"id","major_id","year","method","score","note","url","created_at","updated_at"
36,36,2023,"Diem thi THPT",26.35,NULL,"https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html","2026-08-11 13:54:02.099566","2026-08-11 13:54:02.099566"
37,37,2023,"Diem thi THPT",26.55,NULL,"https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html","2026-08-11 13:54:02.101661","2026-08-11 13:54:02.101661"
38,38,2023,"Diem thi THPT",27.10,NULL,"https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html","2026-08-11 13:54:02.103183","2026-08-11 13:54:02.103183"
39,39,2023,"Diem thi THPT",36.10,NULL,"https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html","2026-08-11 13:54:02.104483","2026-08-11 13:54:02.104483"
40,40,2023,"Diem thi THPT",26.45,NULL,"https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html","2026-08-11 13:54:02.10552","2026-08-11 13:54:02.10552"
41,41,2023,"Diem thi THPT",26.85,NULL,"https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html","2026-08-11 13:54:02.106572","2026-08-11 13:54:02.106572"
42,42,2023,"Diem thi THPT",26.90,NULL,"https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html","2026-08-11 13:54:02.108473","2026-08-11 13:54:02.108473"
43,43,2023,"Diem thi THPT",26.85,NULL,"https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html","2026-08-11 13:54:02.110009","2026-08-11 13:54:02.110009"
44,44,2023,"Diem thi THPT",27.15,NULL,"https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html","2026-08-11 13:54:02.110968","2026-08-11 13:54:02.110968"
45,45,2023,"Diem thi THPT",26.65,NULL,"https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html","2026-08-11 13:54:02.111987","2026-08-11 13:54:02.111987"
46,46,2023,"Diem thi THPT",26.60,NULL,"https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html","2026-08-11 13:54:02.113222","2026-08-11 13:54:02.113222"
47,47,2023,"Diem thi THPT",26.75,NULL,"https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html","2026-08-11 13:54:02.115117","2026-08-11 13:54:02.115117"
