school_code,school_name,address,region,website_url,tuition_range,latitude,longitude,dean_url,source
HDT,Trường Đại Học Hồng Đức,"Số 565 Quang Trung, Phường Hạc Thành, Thanh Hóa",Tỉnh Thanh Hóa,https://hdu.edu.vn/,,19.7679315,105.7793314,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-hong-duc-HDT.html,merged
DNU,Trường Đại Học Đồng Nai,"Số 9, Lê Quý Đôn, P. Tam Hiệp, TP. Đồng Nai",Thành phố Đồng Nai,https://dnpu.edu.vn/,,10.9587618,106.8615164,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-dong-nai-DNU.html,merged
LNS,Phân hiệu Đại Học Lâm nghiệp tại Đồng Nai,"KP.5, Phường Trảng Bom, TP. Đồng Nai",,www.vnuf2.edu.vn,,,,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/phan-hieu-dai-hoc-lam-nghiep-tai-dong-nai-LNS.html,merged
DTM,Trường Đại học Tài Nguyên và Môi Trường TPHCM,"236B Lê Văn Sỹ, P. 1, Q. Tân Bình, TP. Hồ Chí Minh",,www.hcmunre.edu.vn,,,,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-tai-nguyen-va-moi-truong-tphcm-DTM.html,merged
NTU,Trường Đại Học Nguyễn Trãi,"Tòa nhà số 28A, Lê Trọng Tấn, Hà Đông, Hà Nội",Thành phố Hà Nội,www.daihocnguyentrai.edu.vn,,21.0361826,105.8159056,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-nguyen-trai-NTU.html,merged
CCM,Trường Đại học Công nghiệp và Thương mại Hà Nội,xã Thuận An - thành phố Hà Nội,Tỉnh Bắc Ninh,http://www.hict.edu.vn/,,21.0281627,106.0103966,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-cong-nghiep-va-thuong-mai-ha-noi-CCM.html,merged
VUI,Trường Đại Học Công Nghiệp Việt Trì,"Số 9, đường Tiên Sơn, phường Thanh Miếu, Tỉnh Phú Thọ",Tỉnh Phú Thọ,http://www.vui.edu.vn,,21.3880525,105.298084,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-cong-nghiep-viet-tri-VUI.html,merged
QSP,Phân hiệu Đại học Quốc gia TPHCM tại Bến Tre,"99A, Quốc lộ 60, khu phố 1, phường Phú Tân, thành phố Bến Tre, tỉnh Bến Tre",,http://vnuhcm-cbt.edu.vn/,"Học phí bình quân dự kiến: 7.000.000 - 9.000.000 đồng/sinh viên/học kỳ (tùy theo số tín chỉ được bố trí thực tế của học kỳ). | Lộ trình tăng học phí từng năm từ năm học 2024-2025 trở đi, Phân hiệu ĐHQG-HCM thực hiện theo quy định của Chính phủ, nguyên tắc thu học phí như sau: | + Năm học 2024-2025 và năm học 2025-2026 : căn cứ Nghị định số 81/2021/NĐ-CP ngày 27/08/2021 quy định về cơ chế thu, quản",,,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/phan-hieu-dai-hoc-quoc-gia-tphcm-tai-ben-tre-QSP.html,merged
DHL,Trường Đại Học Nông Lâm Huế,"102 Phùng Hưng, Phường Phú Xuân, Thành phố Huế",Phường Phú Xuân,https://huaf.edu.vn/,,16.477353,107.5727227,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-nong-lam-hue-DHL.html,merged
DTQ,Khoa Quốc Tế - Đại Học Thái Nguyên,Phường Phan Đình Phùng – TP. Thái Nguyên,,https://is.tnu.edu.vn,STT | Mã ngành | Ngành học,,,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/khoa-quoc-te-dai-hoc-thai-nguyen-DTQ.html,merged
